787;"Remove the literal ""true"" boolean value.";jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;112;10;MINOR;
683;This block of commented-out lines of code should be removed.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;181;60;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;N;2;MINOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;216;1;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBinaryExpression.java;BSHBinaryExpression.java;188;1;MAJOR;
673;Make isSynchronized a static final constant or non-public and provide accessors if needed.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;39;10;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;68;1;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;41;1;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;122;1;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;112;1;MAJOR;
709;Reduce the total number of break and continue statement in this loop to use at most one.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;120;30;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;N;2;MINOR;
734;"The Cyclomatic Complexity of this method ""evalBlock"" is 13 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHBlock.java;BSHBlock.java;86;10;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHCastExpression.java;BSHCastExpression.java;N;2;MINOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHCastExpression.java;BSHCastExpression.java;65;10;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHCastExpression.java;BSHCastExpression.java;46;1;MAJOR;
781;"Remove this unused ""namespace"" local variable.";jedit-4.2/src/bsh/BSHCastExpression.java;BSHCastExpression.java;54;5;MAJOR;
781;"Remove this unused ""fromType"" local variable.";jedit-4.2/src/bsh/BSHCastExpression.java;BSHCastExpression.java;61;5;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHClassDeclaration.java;BSHClassDeclaration.java;N;2;MINOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHClassDeclaration.java;BSHClassDeclaration.java;95;10;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHClassDeclaration.java;BSHClassDeclaration.java;56;1;MAJOR;
734;"The Cyclomatic Complexity of this method ""eval"" is 18 which is greater than 10 authorized.";jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;22;10;MAJOR;
823;Replace all tab characters in this file by sequences of white-spaces.;jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;N;2;MINOR;
727;Either log or rethrow this exception.;jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;70;10;MAJOR;
423;1 duplicated blocks of code.;jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;N;60;MAJOR;
819;Move this closing curly brace to the next line.;jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;20;1;MAJOR;
790;Remove those useless parentheses.;jedit-4.2/src/bsh/BSHEnhancedForStatement.java;BSHEnhancedForStatement.java;29;1;MAJOR;
