SATD;Path;Line;Priority
No match- so bail out!;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/ManifestClassPath.java;116;4.675081813931744E-4
* Indicates the size of key generated.      *      * @param keysize size of key      * @throws BuildException If not an Integer      * @todo Could convert this to a plain Integer setter.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/GenerateKey.java;279-285;4.675081813931744E-4
but on java>=1.4 we just bail out early;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/compilers/CompilerAdapterFactory.java;93;4.675081813931744E-4
FIXME formatters are not thread-safe;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogParser.java;40;4.675081813931744E-4
FIXME: need to use a SAXSource as the source for the transform;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java;221;4.675081813931744E-4
FIXME: need to use a SAXSource as the source for the transform;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java;247;4.675081813931744E-4
* Check if parameter combinations can be supported          * @todo make sure the 'unit' attribute is only specified on date          *      fields;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java;484-488;4.675081813931744E-4
bail out early if there were no files;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/dotnet/DotnetCompile.java;913;4.675081813931744E-4
work around a bug of GenIC 2.5;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb/JonasDeploymentTool.java;554;4.675081813931744E-4
to weblogic standards Can be written better... this is too hacky!;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;271;4.675081813931744E-4
Fix for invalid characters. If you think of more add to the list.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspNameMangler.java;83;4.675081813931744E-4
Can be written better... this is too hacky!;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;171;4.675081813931744E-4
the original test name with a little hack.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java;109;4.675081813931744E-4
this is one ugly API from Starteam SDK;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/starteam/StarTeamCheckout.java;375;4.675081813931744E-4
XXX     should we silently catch possible exceptions and try to;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp/RegexpFactory.java;62;4.675081813931744E-4
XXX     should we silently catch possible exceptions and try to;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp/RegexpMatcherFactory.java;70;4.675081813931744E-4
* This array really shouldn't be here.      * Again- for historical purposes it is.      *      * <p>FIXME: This array should be in a private or package private      * location- since it could be modified by malicious code.</p>;ApacheAnt-1.7.0/src/main/org/apache/tools/bzip2/BZip2Constants.java;48-54;4.675081813931744E-4
thus test fails.  No workaround?;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/ExecuteJavaTest.java;102;4.675081813931744E-4
﻿"XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/Task.java;188;0.0
XXX should instead make a new ProtectionDomain with a CodeSource;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/AntClassLoader.java;1127;0.0
XXX - shouldn't this always return false in isolated mode?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/AntClassLoader.java;851;0.0
There is a better way to save the Context. This shouldn't;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;474;0.0
Temporary - until we figure a better API;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/ProjectHelper.java;116;0.0
information to make a better decision later.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PathTokenizer.java;66;0.0
deprecated- it is possible to use a better (more efficient);ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;464;0.0
better have too much info than not enough.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/XmlLogger.java;159;0.0
XXX Move to Project ( so it is shared by all helpers );ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;727;0.0
take care of dependencies;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java;577;0.0
XXX: we should use JCVS (www.ice.com/JCVS) instead of;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java;258;0.0
XXX what is the following doing?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Javadoc.java;2028;0.0
XXX maybe use reflection to addPathElement (other patterns ?);ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Classloader.java;180;0.0
XXX could perhaps also call thread.stop()- not sure if anyone cares;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/ExecuteJava.java;191;0.0
XXX - we are committing CombiningChar and Extender here;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java;422;0.0
will take care of it.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Zip.java;1194;0.0
unless they appear after what could be an informational message.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Javadoc.java;2332;0.0
TODO: allow user to request the system or no parent;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Classloader.java;198;0.0
TODO not read- yet in a public setter;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/CopyPath.java;62;0.0
only resource collections- there better be some;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java;365;0.0
* The enumeration of units:      * millisecond- second- minute- hour- day- week      * @todo we use timestamps in many places- why not factor this out;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;175-179;0.0
